year,m1,broad_money,gdp,debt_gdp,m1_gdp,broad_money_gdp,country,m1_series,broad_series,gdp_series,debt_source,debt_to_m1,debt_to_broad_money
2006,,,1559864200000.0,106.253,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2007,,,1621714500000.0,103.454,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2008,,,1643718800000.0,105.788,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2009,,,1584106800000.0,116.121,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2010,,,1617944700000.0,118.737,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2011,,,1657362200000.0,119.106,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2012,,,1632898500000.0,125.87,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2013,,,1621260700000.0,131.816,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2014,,,1635870700000.0,134.755,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2015,,,1663277700000.0,134.746,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2016,,,1704856700000.0,134.195,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2017,,,1744493000000.0,133.689,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2018,,,1777744400000.0,134.138,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2019,,,1804066800000.0,133.823,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2020,,,1670011900000.0,154.288,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2021,,,1842507400000.0,145.735,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
2022,,,1998072600000.0,138.279,,,Italy,,MYAGM2ITM189N,NGDPXDCITA,GGGDTAITA188N,,
1995,19161005287.52344,185766779290.27853,,,,,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,,
1996,24014999541.837082,253373206964.80215,854763607800.0,,2.8095486661683164,29.64248882997451,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,,
1997,38122302196.306885,316073958558.3369,952089196100.0,,4.004068353308235,33.19793564017493,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,,
1998,44061311925.001785,361766762224.8034,1002351019200.0,,4.395796590317048,36.091823652111216,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,,
1999,48466764442.86611,416745114861.509,1087710456100.0,,4.455851662642311,38.31397524261686,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,,
2000,57877912727.70377,516033372976.6442,1199092070900.0,62.198,4.826811396080909,43.035341947455805,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,12.885939577109056,1.4452772346026883
2001,68407540022.42625,593606256285.0309,1315755467800.0,67.331,5.199107409890275,45.115241457256964,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,12.950492207934783,1.4924224679987732
2002,85063587000.0,651979562722.8285,1488787255100.0,76.095,5.713616012536753,43.79266147593639,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,13.318185862163855,1.7376198987543474
2003,91680867250.0,751857473996.5698,1717950396400.0,71.514,5.33664228269449,43.764795280009395,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,13.40056091672165,1.6340531137515844
2004,107809616666.66667,918798093299.9707,1957751213000.0,68.025,5.50680882998726,46.93129991180195,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,12.352889323045083,1.4494591057106765
2005,122247348916.66667,1070115075737.2816,2170584503500.0,66.969,5.63200136735274,49.30077930676066,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,11.89079966993652,1.3583760934751892
2006,140738722500.0,1264232521538.9475,2409449921500.0,64.599,5.841114241228276,52.46975711169382,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,11.059362534641346,1.2311663624149494
2007,174013600166.66666,1469098423056.7734,2720262937600.0,63.025,6.396940448712404,54.00575079528567,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,9.852366221837483,1.1670053479841938
2008,195033203166.66666,1745416896482.7966,3109803089000.0,61.42,6.271561175578555,56.126283450443786,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,9.793414794257185,1.0943179598597554
2009,209669179583.33334,2029610412723.3083,3333039355100.0,64.702,6.2906301800040625,60.89368280688707,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,10.285456011333704,1.0625404314137197
2010,246450292333.33334,2476764796491.7954,3885847000400.0,62.433,6.342254141966071,63.73809355429699,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,9.84397638481356,0.9795241200117601
2011,262627429500.0,2902447797824.0376,4376381999000.0,60.634,6.001017040103221,66.32071419924597,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,10.10395397893372,0.914254328109895
2012,278962589666.6667,3409902896196.8423,4814759999000.0,61.614,5.793904363345332,70.82186644620005,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,10.634279776828212,0.8699855438970276
2013,309837459750.0,3791023854320.7437,5331619000000.0,59.595,5.811320346596409,71.10455293824903,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,10.254984486426356,0.8381319836404212
2014,325642626750.0,4170046235242.6636,5778953000000.0,61.617,5.634976210223547,72.15919968967846,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,10.934740041707393,0.8539035946211249
2015,321847524083.3333,4588064571980.069,5995787000000.0,71.73,5.36789455801771,76.52147369444694,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,13.36278110993464,0.9373839333834648
2016,322479497500.0,5084807450855.518,6269328001000.0,77.422,5.143764968886017,81.10610020794026,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,15.05162083966042,0.9545767803100513
2017,336492164916.6667,5572495592311.208,6585479000000.0,82.745,5.10960804698742,84.61792365158568,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,16.194001426153562,0.9778661119209514
2018,364138799583.3333,5986298464288.573,7004140999000.0,84.777,5.198907326898793,85.46798908164833,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,16.306695747656352,0.9919152294435263
2019,384948520916.6667,,7389131000000.0,87.118,5.209658901928613,,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,16.722399995851735,
2020,521731078416.6667,,7609597001000.0,96.007,6.8562248217363475,,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,14.002895543277432,
2021,614142923250.0,,9012142000000.0,88.934,6.81461658338273,,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,13.050477442393943,
2022,607872453583.3334,,10079676679000.0,83.939,6.030674127174882,,Brazil,MANMM101BRM189S,MABMM301BRM189S,BRAGDPNADSMEI,GGGDTABRA188N,13.918676126398807,
1995,13331235514.322916,107570656901.04167,317110382700.0,,4.203973203531098,33.92214912206395,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,,
1996,15462236450.195307,135657136718.75,366619393100.0,,4.217517333017294,37.0021715359034,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,,
1997,17516051228.84114,166342880208.33334,411328949900.0,,4.258404674190705,40.4403532133524,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,,
1998,19625697347.005207,194456354166.66666,457372477500.0,,4.290965965918928,42.51597193376522,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,,
1999,21500054280.598957,230714773437.5,501594484400.0,,4.286341845707695,45.9962740047825,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,,
2000,23870393798.828125,271383404947.91666,555448876100.0,77.2,4.297496101969001,48.858394827152054,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,17.96394881303766,1.580076469419697
2001,27249198649.088543,315265848958.3333,566175179000.0,81.1,4.812856454996333,55.68344580473622,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,16.850699944688415,1.4564472228315644
2002,31483223063.151043,333625057291.6667,592487160500.0,87.2,5.313739294634225,56.30924677087018,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,16.410289471305816,1.5485911284664915
2003,31627593750.0,356055169270.8333,598020616300.0,89.7,5.288712945329942,59.53894557578538,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,16.960648257381262,1.5065768990789987
2004,37307549967.447914,381958651041.6667,627027846400.0,88.3,5.949903211100501,60.91573974499432,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,14.840577546751039,1.4495432604059602
2005,43817153808.59375,422535122395.8333,660155949900.0,85.2,6.637394363442629,64.00534941173197,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,12.83636248423985,1.3311387373565862
2006,49810117675.78125,456589682291.6667,707237357900.0,77.7,7.042913827923689,64.5596103191464,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,11.032365566072334,1.20353886301195
2007,57496769368.489586,508753989583.3333,756172087100.0,70.8,7.60366196390504,67.28018638382417,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,9.311302940095326,1.0523157530524034
2008,65700731933.59375,547515770833.3333,791341680500.0,70.2,8.302448051527062,69.18828924661112,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,8.455337457617476,1.0146225721781152
2009,98970647460.9375,616643947916.6666,835431204400.0,72.6,11.846654391131754,73.81145744484554,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,6.128312484100776,0.9835871355642748
2010,111039800781.25,630265171875.0,893288627700.0,69.0,12.430450510396664,70.55560233625484,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,5.55088489691418,0.9779521074904708
2011,115460802083.33333,671322989583.3334,956813606700.0,67.2,12.067219913557832,70.16235815235646,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,5.568805448262286,0.9577785264012401
2012,121236516601.5625,743881369791.6666,1013796592800.0,66.9,11.958662858268239,73.37580093232944,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,5.594270930862913,0.9117447325951274
2013,136750179361.97917,794228286458.3334,1074690060600.0,66.0,12.72461562412064,73.903008465056,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,5.186797145753553,0.8930624256143398
2014,167806968424.47916,872590197916.6666,1123796516400.0,65.8,14.932148834384762,77.64663666265362,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,4.406599527623253,0.8474288498274182
2015,247455957356.77084,944142687500.0,1176638085100.0,62.8,21.03076217660761,80.24070438105522,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,2.9861019525888635,0.782645173474163
2016,306040774739.5833,996487046875.0,1232669467000.0,61.7,24.82748075884509,80.8397606618904,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,2.4851494438483708,0.7632382814449216
2017,348321558593.75,1051576093750.0,1285863525800.0,59.8,27.08853246125336,81.77975909968843,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,2.207576216450122,0.7312322836156144
2018,392600581380.2083,1092876458333.3334,1347000744900.0,60.1,29.146277971015863,81.13406488238189,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,2.0620128600902548,0.7407492782116307
2019,421426762369.7917,1171590312500.0,1424572434000.0,59.3,29.582684060963075,82.24154030626147,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,2.0045510366062933,0.7210468065064339
2020,508487337239.5833,1356178416666.6667,1417343949500.0,71.1,35.87607210084494,95.68449614118641,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,1.9818223076412393,0.7430670888948301
2021,633653151692.7084,1599188156250.0,1581860401000.0,67.7,40.057463433064875,101.09540356652496,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,1.6900720664234066,0.6696644714954879
2022,693427958333.3334,1758797406250.0,1763805783900.0,60.3,39.314303460331985,99.71604710134662,Israel,MANMM101ILM189S,MABMM301ILM189S,ISRGDPNADSMEI,IMF:GGXWDG_NGDP,1.5337929123135177,0.6047171117675169
1995,97967939345.39168,261345445550.0,626988209718.363,,15.625164528914812,41.68267305495167,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,
1996,133957373613.023,309942330833.3333,705647781860.323,,18.983603017905995,43.923092908507684,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,
1997,165732824736.48026,361700267025.0,781822173643.8301,,21.198276324659748,46.26375142818315,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,
1998,207176938942.00558,416155809633.3333,846916108034.953,,24.46251015613641,49.1377842132338,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,
1999,236491727682.11948,451951641775.0,928193181100.312,,25.47871849282216,48.69154945086335,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,
2000,263271678805.37216,490133301325.0,1052253162206.75,37.929,25.019804003558196,46.57940873250586,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.5159591176096312,0.8142868497497888
2001,289973584676.403,561212567033.3334,1163246765509.08,38.045,24.92795108263205,48.24535805072502,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.5261984378053013,0.7885732749666736
2002,345376672675.8262,672321162466.6666,1353522625964.89,31.801,25.516874712723506,49.67195594439265,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.2462733135630844,0.6402204099955507
2003,351934782662.2509,766221151800.0,1474168958883.21,31.514,23.873435981779664,51.97648120202369,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.3200445894780983,0.606312687415496
2004,406075585216.21564,868040543883.3334,1641912517422.38,30.733,24.73186487753374,52.86764883466877,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.2426479018942744,0.5813195910434807
2005,465768793880.7285,1010545393458.3334,1822748028328.6296,29.637,25.553109186891596,55.44076184709709,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.1598197222592148,0.5345705760995384
2006,561804139242.2284,1243999645233.3333,2045297875318.7,28.03,27.46808403908832,60.822419083552425,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.0204570497203973,0.4608498054228143
2007,674135343059.3219,1533327082450.0,2345634423497.0903,24.326,28.74000041550627,65.36939716991249,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,0.8464161325090046,0.37213131913654096
2008,750739222337.3993,1822424287275.0,2634250038271.26,24.045,28.49916338352132,69.18190227951844,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,0.8437089775731175,0.3475619953734434
2009,761173060141.5981,1941185389900.0,2788380145746.2095,26.995,27.29803758296011,69.61695638456469,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,0.9888989242527357,0.3877647257498501
2010,830072364738.6742,2008508323441.6667,3055613202000.0,31.185,27.16549215703625,65.73175957372588,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.1479637409007013,0.4744281942585511
2011,897050944264.9862,2145535440841.6667,3327047001250.0,34.742,26.962376663989314,64.48768051775556,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.2885362604699857,0.5387385578309704
2012,979847799836.6627,2287630070775.0,3566385019250.0,37.408,27.474537789605275,64.1442261120781,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.3615515677265717,0.5831857716178172
2013,1088356400128.6367,2461569596091.6665,3868630223000.0,40.356,28.132861953517253,63.62897082944251,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.4344790112957055,0.6342393955761799
2014,1210257303381.535,2637658680125.0,4133873041250.0,43.253,29.27659585345121,63.805991471073945,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.477391709627375,0.6778830483279691
2015,1332286237679.14,2870621468783.3335,4420792527250.0,45.195,30.136818895409743,64.93454400062139,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.499660603093176,0.6960085836526011
2016,1482807834307.9182,3056048749266.6665,4759554551500.0,47.134,31.154340564089196,64.20871357180968,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.51291919991175,0.7340748222168682
2017,1626471298315.5085,3250859187358.3335,5078189926750.0,48.588,32.02856375551981,64.01610089914178,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.5170208808263008,0.7589965542661063
2018,1699475691199.3418,3451855807941.6665,5363190430750.0,51.536,31.6877745279256,64.36198476470938,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,1.6263685527862703,0.8007211118240398
2019,,3700504394183.3335,5625206549500.0,56.101,,65.7843291907611,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,0.8528018859524823
2020,,4055462700558.3335,5567973607750.0,68.927,,72.83552305121528,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,0.9463376812923148
2021,,4213989446033.334,6208785872250.0,68.672,,67.87139277692995,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,1.0117959451001892
2022,,4550811678383.333,6628550342750.0,70.832,,68.65470492142825,South Africa,MANMM101ZAM189S,MABMM301ZAM189S,ZAFGDPNADSMEI,GGGDTAZAA188N,,1.031713705288859
